utterance,intent
What is the schedule for IT practical exams?,ask_exam_schedule
Thanks,thank_you
Fee payment ki last date kya hai?,ask_fee_deadline
Tell me the final date for paying my B.Tech fees.,ask_fee_deadline
Timings for the main library?,inquire_library_hours
See you later,goodbye
Library kab tak khuli rehti hai?,inquire_library_hours
What are the library hours?,inquire_library_hours
I need the class schedule for the 4th semester.,ask_timetable
When is the annual fest?,ask_about_events
Where can I find the scholarship form?,find_scholarship_form
Tata,goodbye
What is the fee deadline?,ask_fee_deadline
Any workshops happening this month?,ask_about_events
Is there any upcoming event?,ask_about_events
Hi there,greet
Bye,goodbye
"That was helpful, thanks",thank_you
When are the 6th semester fees due?,ask_fee_deadline
Is there any upcoming event?,ask_about_events
Timings for the main library?,inquire_library_hours
Tata,goodbye
When does the library open?,inquire_library_hours
What are the library hours?,inquire_library_hours
When does the library open?,inquire_library_hours
Tata,goodbye
Scholarship form kidhar milega?,find_scholarship_form
Library kab tak khuli rehti hai?,inquire_library_hours
My classroom's projector is broken.,report_issue
Good morning,greet
Hey,greet
annual fest kab hai?,ask_about_events
What is the schedule for IT practical exams?,ask_exam_schedule
What are the library hours?,inquire_library_hours
See you later,goodbye
When is the annual fest?,ask_about_events
second year ka time table hai?,ask_timetable
When are the 6th semester fees due?,ask_fee_deadline
Thank you so much,thank_you
I need the exam timetable for the 2nd semester.,ask_exam_schedule
See you later,goodbye
Is there any upcoming event?,ask_about_events
Fee payment ki last date kya hai?,ask_fee_deadline
Show me the scholarship forms for B.Tech students.,find_scholarship_form
My classroom's projector is broken.,report_issue
My classroom's projector is broken.,report_issue
See you later,goodbye
Timetable for MCA please.,ask_timetable
When are the 4th semester fees due?,ask_fee_deadline
Hi there,greet
When does the library open?,inquire_library_hours
There is a problem with the library computer in the hostel.,report_issue
Timetable for M.Tech please.,ask_timetable
See you later,goodbye
Shukriya,thank_you
See you later,goodbye
Library kab tak khuli rehti hai?,inquire_library_hours
Fee payment ki last date kya hai?,ask_fee_deadline
"That was helpful, thanks",thank_you
When does the library open?,inquire_library_hours
What are the library hours?,inquire_library_hours
"That was helpful, thanks",thank_you
There is a problem with the Wi-Fi in the hostel.,report_issue
I need the exam timetable for the 7th semester.,ask_exam_schedule
Where can I find the scholarship form?,find_scholarship_form
Scholarship form kidhar milega?,find_scholarship_form
When is the last date for fee submission?,ask_fee_deadline
Scholarship form kidhar milega?,find_scholarship_form
I want to report an issue.,report_issue
sports meet kab hai?,ask_about_events
When is the last date for fee submission?,ask_fee_deadline
The canteen food is not working.,report_issue
There is a problem with the library computer in the hostel.,report_issue
I need the application for the government scholarship.,find_scholarship_form
Is the library open on Saturday?,inquire_library_hours
Goodbye,goodbye
Is the library open on Saturday?,inquire_library_hours
I need the application for the government scholarship.,find_scholarship_form
I have to go,goodbye
Hey,greet
Bye,goodbye
Good morning,greet
Shukriya,thank_you
Goodbye,goodbye
Tata,goodbye
See you later,goodbye
Timings for the main library?,inquire_library_hours
Show me the dates for the final exams.,ask_exam_schedule
I need the class schedule for the 5th semester.,ask_timetable
Thank you so much,thank_you
Thanks,thank_you
Thank you so much,thank_you
Is the library open on Saturday?,inquire_library_hours
What is the schedule for Electronics practical exams?,ask_exam_schedule
Tata,goodbye
Hello,greet
Thank you so much,thank_you
When are the exams starting?,ask_exam_schedule
Show me the Civil department timetable.,ask_timetable
What is the fee deadline?,ask_fee_deadline
Thank you so much,thank_you
When does the library open?,inquire_library_hours
Shukriya,thank_you
My classroom's projector is broken.,report_issue
Show me the scholarship forms for B.Tech students.,find_scholarship_form
What are the library hours?,inquire_library_hours
See you later,goodbye
I have to go,goodbye
When are the 7th semester fees due?,ask_fee_deadline
Where can I find the timetable?,ask_timetable
I want to report an issue.,report_issue
Where can I find the scholarship form?,find_scholarship_form
I need the application for the government scholarship.,find_scholarship_form
Is there any upcoming event?,ask_about_events
Where can I find the timetable?,ask_timetable
The library computer is not working.,report_issue
Hey,greet
Is the library open on Saturday?,inquire_library_hours
When is the hackathon?,ask_about_events
I need the application for the government scholarship.,find_scholarship_form
Show me the scholarship forms for MCA students.,find_scholarship_form
Is there any upcoming event?,ask_about_events
When does the library open?,inquire_library_hours
Whom to contact for a library computer issue?,report_issue
Tell me more about the college fest.,ask_about_events
See you later,goodbye
See you later,goodbye
I need the class schedule for the 8th semester.,ask_timetable
Tata,goodbye
Show me the scholarship forms for M.Tech students.,find_scholarship_form
The canteen food is not working.,report_issue
Exam schedule kab aayega?,ask_exam_schedule
Where can I find the timetable?,ask_timetable
Where can I find the scholarship form?,find_scholarship_form
"That was helpful, thanks",thank_you
What is the schedule for Electronics practical exams?,ask_exam_schedule
